Date,Price,Open,High,Low,Vol.,Change %
"Nov 18, 2025","92,960.83","92,215.14","93,836.01","89,253.78",39.84K,0.81%
"Nov 17, 2025","92,215.14","94,261.45","96,043","91,220",39.22K,-2.17%
"Nov 16, 2025","94,261.44","95,596.23","96,635.11","93,005.55",23.89K,-1.40%
"Nov 15, 2025","95,596.24","94,594","96,846.68","94,558.49",15.11K,1.06%
"Nov 14, 2025","94,594","99,692.03","99,866.02","94,012.45",47.29K,-5.11%
"Nov 13, 2025","99,692.02","101,654.37","104,085.01","98,000.4",36.20K,-1.93%
"Nov 12, 2025","101,654.37","103,059","105,333.33","100,813.59",20.46K,-1.36%
"Nov 11, 2025","103,058.99","106,011.13","107,500","102,476.09",24.20K,-2.78%
"Nov 10, 2025","106,011.13","104,722.95","106,670.11","104,265.02",22.68K,1.23%
"Nov 09, 2025","104,722.96","102,312.95","105,495.62","101,400",16.34K,2.36%
"Nov 08, 2025","102,312.94","103,339.09","103,406.22","101,454",12.39K,-0.99%
"Nov 07, 2025","103,339.08","101,346.04","104,096.36","99,260.86",32.06K,1.97%
"Nov 06, 2025","101,346.04","103,885.16","104,200","100,300.95",25.81K,-2.44%
"Nov 05, 2025","103,885.16","101,497.23","104,534.74","98,966.8",33.78K,2.35%
"Nov 04, 2025","101,497.22","106,583.05","107,299","98,944.36",50.53K,-4.77%
"Nov 03, 2025","106,583.04","110,540.69","110,750","105,306.56",28.68K,-3.58%
"Nov 02, 2025","110,540.68","110,098.1","111,250.01","109,471.34",12.11K,0.40%
"Nov 01, 2025","110,098.1","109,608.01","110,564.49","109,394.81",7.38K,0.45%
"Oct 31, 2025","109,608.01","108,322.87","111,190","108,275.28",21.52K,1.19%
"Oct 30, 2025","108,322.88","110,021.3","111,592","106,304.34",25.99K,-1.54%
"Oct 29, 2025","110,021.29","112,898.44","113,643.73","109,200",21.08K,-2.55%
"Oct 28, 2025","112,898.45","114,107.65","116,086","112,211",15.52K,-1.06%
"Oct 27, 2025","114,107.65","114,559.41","116,400","113,830.01",21.45K,-0.39%
"Oct 26, 2025","114,559.4","111,646.27","115,466.8","111,260.45",13.45K,2.61%
"Oct 25, 2025","111,646.27","111,004.9","111,943.19","110,672.86",6.41K,0.58%
"Oct 24, 2025","111,004.89","110,078.19","112,104.98","109,700.01",15.01K,0.84%
"Oct 23, 2025","110,078.18","107,567.45","111,293.61","107,500",17.57K,2.33%
"Oct 22, 2025","107,567.44","108,297.66","109,163.88","106,666.69",28.61K,-0.67%
"Oct 21, 2025","108,297.67","110,532.09","114,000","107,473.72",37.23K,-2.02%
"Oct 20, 2025","110,532.09","108,642.77","111,705.56","107,402.52",19.19K,1.74%
"Oct 19, 2025","108,642.78","107,185","109,450.07","106,103.36",15.48K,1.36%
"Oct 18, 2025","107,185.01","106,431.68","107,499","106,322.2",11.12K,0.71%
"Oct 17, 2025","106,431.68","108,194.27","109,240","103,528.23",37.92K,-1.63%
"Oct 16, 2025","108,194.28","110,763.28","111,982.45","107,427",29.86K,-2.32%
"Oct 15, 2025","110,763.28","113,028.13","113,612.35","110,164",22.99K,-2.00%
"Oct 14, 2025","113,028.14","115,166","115,409.96","109,866",31.87K,-1.86%
"Oct 13, 2025","115,166","114,958.81","115,963.81","113,616.5",22.56K,0.18%
"Oct 12, 2025","114,958.8","110,644.4","115,770","109,565.06",32.26K,3.90%
"Oct 11, 2025","110,644.4","112,774.49","113,322.39","109,561.59",35.45K,-1.89%
"Oct 10, 2025","112,774.5","121,662.41","122,550","102,000",64.17K,-7.31%
"Oct 09, 2025","121,662.4","123,306.01","123,762.94","119,651.47",21.56K,-1.33%
"Oct 08, 2025","123,306","121,332.96","124,197.25","121,066.14",17.01K,1.63%
"Oct 07, 2025","121,332.95","124,658.54","125,126","120,574.94",21.63K,-2.67%
"Oct 06, 2025","124,658.54","123,482.32","126,199.63","123,084",19.49K,0.95%
"Oct 05, 2025","123,482.31","122,390.99","125,708.42","122,136",22.04K,0.89%
"Oct 04, 2025","122,391","122,232.21","122,800","121,510",8.21K,0.13%
"Oct 03, 2025","122,232","120,529.35","123,894.99","119,248.3",23.94K,1.41%
"Oct 02, 2025","120,529.35","118,594.99","121,022.07","118,279.31",19.67K,1.63%
"Oct 01, 2025","118,594.99","114,048.94","118,649.1","113,966.67",20.04K,3.99%
"Sep 30, 2025","114,048.93","114,311.97","114,792","112,656.27",15.04K,-0.23%
"Sep 29, 2025","114,311.96","112,163.96","114,400","111,560.65",15.54K,1.92%
"Sep 28, 2025","112,163.95","109,635.85","112,350","109,189.99",7.54K,2.31%
"Sep 27, 2025","109,635.85","109,643.46","109,743.91","109,064.4",5.50K,-0.01%
"Sep 26, 2025","109,643.46","108,994.49","110,300","108,620.07",14.24K,0.60%
"Sep 25, 2025","108,994.49","113,307.01","113,510.23","108,631.51",21.23K,-3.81%
"Sep 24, 2025","113,307","111,998.8","113,940","111,042.66",12.37K,1.17%
"Sep 23, 2025","111,998.8","112,650.99","113,290.5","111,458.73",12.30K,-0.58%
"Sep 22, 2025","112,650.99","115,232.29","115,379.25","111,800",20.78K,-2.24%
"Sep 21, 2025","115,232.29","115,685.63","115,819.06","115,188",4.51K,-0.39%
"Sep 20, 2025","115,685.63","115,632.39","116,121.81","115,408.47",4.67K,0.05%
"Sep 19, 2025","115,632.38","117,073.53","117,459.99","115,100",8.99K,-1.23%
"Sep 18, 2025","117,073.53","116,447.6","117,900","116,092.76",11.66K,0.54%
"Sep 17, 2025","116,447.59","116,788.96","117,286.73","114,720.81",16.75K,-0.29%
"Sep 16, 2025","116,788.96","115,349.71","116,964.27","114,737.11",10.93K,1.25%
"Sep 15, 2025","115,349.71","115,268.01","116,757.99","114,384",13.21K,0.07%
"Sep 14, 2025","115,268.01","115,918.29","116,165.19","115,135",6.71K,-0.56%
"Sep 13, 2025","115,918.29","116,029.41","116,298.78","115,127.27",8.27K,-0.10%
"Sep 12, 2025","116,029.42","115,482.69","116,665.63","114,740.99",15.32K,0.47%
"Sep 11, 2025","115,482.69","113,960","115,488.09","113,430",13.68K,1.34%
"Sep 10, 2025","113,960","111,546.38","114,313.13","110,917.45",17.52K,2.16%
"Sep 09, 2025","111,546.39","112,065.23","113,293.29","110,766.66",15.38K,-0.46%
"Sep 08, 2025","112,065.23","111,137.35","112,924.37","110,621.78",11.58K,0.83%
"Sep 07, 2025","111,137.34","110,187.98","111,600","110,180",5.68K,0.86%
"Sep 06, 2025","110,187.97","110,660","111,307.7","109,977",5.00K,-0.43%
"Sep 05, 2025","110,659.99","110,730.87","113,384.62","110,206.96",21.59K,-0.06%
"Sep 04, 2025","110,730.87","111,705.72","112,180","109,329.12",12.20K,-0.87%
"Sep 03, 2025","111,705.71","111,240.01","112,575.27","110,528.71",11.77K,0.42%
"Sep 02, 2025","111,240.01","109,237.43","111,771.52","108,393.39",18.51K,1.83%
"Sep 01, 2025","109,237.42","108,246.36","109,912.4","107,255",16.05K,0.92%
"Aug 31, 2025","108,246.35","108,816.33","109,480.02","108,076.93",9.49K,-0.52%
"Aug 30, 2025","108,816.33","108,377.4","108,926.15","107,350.1",10.71K,0.41%
"Aug 29, 2025","108,377.4","112,566.9","112,638.64","107,463.9",22.58K,-3.72%
"Aug 28, 2025","112,566.9","111,262.01","113,485.9","110,862.42",11.10K,1.17%
"Aug 27, 2025","111,262.01","111,763.22","112,625","110,345.42",13.39K,-0.45%
"Aug 26, 2025","111,763.22","110,111.98","112,371","108,666.66",18.45K,1.50%
"Aug 25, 2025","110,111.98","113,493.59","113,667.28","109,274.1",25.18K,-2.98%
"Aug 24, 2025","113,493.59","115,438.06","115,666.68","110,680",21.18K,-1.68%
"Aug 23, 2025","115,438.05","116,936","117,030","114,560",11.33K,-1.28%
"Aug 22, 2025","116,935.99","112,500","117,429.05","111,684.79",23.13K,3.94%
"Aug 21, 2025","112,500","114,271.23","114,821.76","112,015.67",10.84K,-1.55%
"Aug 20, 2025","114,271.24","112,872.95","114,615.38","112,380",15.64K,1.24%
"Aug 19, 2025","112,872.94","116,227.05","116,725.69","112,732.58",18.07K,-2.89%
"Aug 18, 2025","116,227.05","117,405.01","117,543.75","114,640.14",17.75K,-1.00%
"Aug 17, 2025","117,405.01","117,380.66","118,575","117,172.21",5.90K,0.02%
"Aug 16, 2025","117,380.66","117,342.04","117,898.99","117,143.98",6.39K,0.03%
"Aug 15, 2025","117,342.05","118,295.09","119,216.82","116,803.99",13.62K,-0.81%
"Aug 14, 2025","118,295.09","123,306.44","124,474","117,180",27.98K,-4.06%
"Aug 13, 2025","123,306.43","120,134.09","123,667.79","118,920.92",23.21K,2.64%
"Aug 12, 2025","120,134.08","118,686","120,324.43","118,207.47",16.72K,1.22%
"Aug 11, 2025","118,686","119,294.27","122,335.16","118,050.11",26.49K,-0.51%
"Aug 10, 2025","119,294.01","116,462.25","119,311.11","116,460.63",14.32K,2.43%
"Aug 09, 2025","116,462.25","116,674.74","117,944.05","116,299.13",9.51K,-0.18%
